win_blue,firstBlood_ours,firstTowerKill_ours,firstInhibitorKill_ours,firstBaron_ours,firstDragon_ours,firstRiftHerald_ours,4dragons_ours,olddragon_ours,kda_ours,kda_enemy,level_diff_ours_minus_enemy,inhibitorKills_gap_ours_minus_enemy,baronKills_gap_ours_minus_enemy,dragonKills_gap_ours_minus_enemy,riftHeraldKills_gap_ours_minus_enemy
0,False,False,False,False,False,False,0,0,1.5989340439706863,3.566333808844508,19.0,-1,0,-3,-2
1,False,False,True,True,False,False,0,0,3.688383316097897,1.8742190753852561,35.0,2,1,2,-2
1,True,True,True,True,True,True,0,0,3.213138164941092,1.0341261633919339,30.0,1,1,0,1
1,True,True,True,True,False,True,1,0,3.5888233786208668,2.6991002999000333,32.0,5,-1,3,2
1,True,True,True,False,False,True,0,0,3.665555892153893,1.4355293514483467,30.0,2,-1,-2,2
0,False,True,True,False,False,True,0,0,2.061855670103093,4.559650218613366,24.0,0,-1,0,2
0,False,False,False,False,True,False,0,0,1.3456362937331794,5.617977528089888,19.0,-1,0,-1,-2
0,False,False,False,False,False,False,0,0,0.8796481407437025,5.389221556886228,14.0,-1,0,-2,-1
1,False,False,True,True,True,False,0,0,3.080248581464469,1.3996001142530707,36.0,3,1,0,-2
0,False,True,False,False,False,False,0,0,2.4037438842799403,3.581840899625156,26.0,-1,-2,-3,-1
1,True,True,True,True,True,True,0,0,4.220659015179563,1.4058106841611997,36.0,2,1,2,2
1,False,True,True,True,True,False,1,0,2.6904199236502455,1.749663526244953,32.0,1,1,4,0
1,False,True,True,True,False,True,0,0,2.9063008602650546,3.067907618062737,33.0,1,0,2,0
0,False,False,False,False,False,False,0,0,1.1552988224838925,4.995836802664447,20.0,-1,0,-3,-2
0,False,True,False,False,False,True,0,0,1.3614124654328867,5.746408494690818,21.0,-2,-1,0,0
0,False,False,False,False,True,False,0,0,1.608346011736579,3.8400841662283005,21.0,-1,-1,-2,-2
0,True,True,False,False,False,True,0,0,1.4843986670705847,4.095904095904096,21.0,-2,-1,-3,2
1,True,True,True,False,True,True,0,0,3.527336860670194,1.1660188784008882,26.0,1,0,3,1
0,False,False,False,False,False,False,0,0,1.215887597946501,4.0799333888426315,15.0,-1,-1,-3,-2
1,False,True,True,True,False,True,0,0,4.029990627928773,1.444043321299639,37.0,2,2,1,1
1,False,False,True,True,False,False,1,0,2.6525198938992043,1.9994738226782427,38.0,2,1,1,-2
0,False,False,False,False,False,False,0,0,1.8293980004254415,3.665139525197834,25.0,-3,-1,-2,-1
0,True,True,False,False,False,True,0,0,2.4858146446906244,2.4573094543940024,24.0,-1,-1,-4,0
0,False,False,False,False,False,False,0,0,0.9995240361732508,10.631229235880399,4.0,-1,0,-1,-1
0,True,True,False,False,False,True,0,0,1.2937371361364305,7.392607392607393,14.0,-1,0,-3,0
1,True,True,True,False,True,True,0,0,4.3312708234174195,0.9282399143163156,28.0,2,0,3,2
0,False,True,True,True,False,True,1,0,2.259548090381924,4.952294411631076,32.0,0,-1,2,2
0,False,False,False,False,False,False,0,0,1.7853954650955188,4.164931278633902,22.0,-2,-1,-4,-2
1,False,True,True,True,True,True,1,0,3.2892615285391806,1.4567266495287061,34.0,1,1,4,2
0,False,True,False,False,False,True,0,0,1.856612396458155,4.796802131912059,14.0,-1,-1,-3,2
1,False,True,True,False,False,True,0,0,3.8431975403535743,0.8257279443720121,25.0,1,0,0,1
